title,release_date,genre,director
For Keeps,1988-01-15,Drama,
Frantic,1988-02-16,Crime,
Fresh Horses,1988-11-18,Drama,
Gorillas in the Mist,1988-09-23,Drama,
The Great Outdoors,1988-06-17,Comedy,
Heartbreak Hotel,1988-09-30,Comedy,
High Spirits,1988-11-18,Horror,
Hot to Trot,1988-08-26,Comedy,
The House on Carroll Street,1988-03-04,Drama,
Howling IV: The Original Nightmare,1988-11-01,Horror,
Imagine: John Lennon,1988-10-07,Documentary,
Johnny Be Good,1988-03-22,Comedy,
Lady in White,1988-04-22,Horror,
The Lair of the White Worm,1988-09-14,Comedy,
The Land Before Time,1988-11-18,Animation,
License to Drive,1988-07-06,Comedy,
Little Nikita,1988-03-17,Drama,
Masquerade,1988-03-11,Drama,
The Milagro Beanfield War,1988-03-18,Comedy,
Moon Over Parador,1988-09-09,Action,
Moving,1988-03-04,Comedy,
My Stepmother is an Alien,1988-12-09,Comedy,
A Night in the Life of Jimmy Reardon,1988-07-21,Drama,
Off Limits,1988-03-11,Action,
Bagdad Cafe,1987-11-12,Comedy,
Permanent Record,1988-04-22,Drama,
Red Heat,1988-06-17,Action,
Return of the Living Dead Part II,1988-01-15,Comedy,
The Return of the Living Dead,1985-05-15,Comedy,
Return to Snowy River,1988-03-24,Adventure,
The Man from Snowy River,1982-03-02,Family,
Rocket Gibraltar,1988-09-02,Drama,
Running on Empty,1988-09-07,Drama,
Salome's Last Dance,1988-05-06,Comedy,
Salsa,1988-07-09,Drama,
Satisfaction,1988-02-12,Music,
The Serpent and the Rainbow,1988-02-05,Horror,
Shakedown,1988-05-06,Action,
Shoot to Kill,1988-02-12,Action,
Short Circuit 2,1988-07-06,Comedy,
Short Circuit,1986-05-09,Comedy,
The Vanishing,1988-10-27,Horror,
Stormy Monday,1988-05-01,Romance,
Sunset,1988-04-29,Action,
Sweet Hearts Dance,1988-09-23,Comedy,
Switching Channels,1988-03-05,Comedy,
The Telephone,1988-01-22,Drama,
Tetsuo: The Iron Man,1989-07-01,Horror,
They Live,1988-11-23,Action,
To Kill a Priest,1988-01-01,Drama,
Torch Song Trilogy,1988-01-01,Comedy,
Track 29,1988-05-15,Drama,
Tucker: The Man and His Dream,1988-08-12,Drama,
Twins,1988-12-09,Comedy,
Vice Versa,1988-02-25,Comedy,
Watchers,1988-12-02,Action,
Waxwork,1988-06-17,Horror,
Without a Clue,1988-10-21,Comedy,
Young Einstein,1988-12-15,Comedy,
Always,1989-12-22,Fantasy,
American Ninja,1985-08-30,Action,
American Ninja 2: The Confrontation,1987-05-01,Action,
American Ninja 3: Blood Hunt,1989-02-24,Action,
Best of the Best 2,1993-01-01,Action,
The Big Picture,1989-09-15,Comedy,
Bill & Ted's Excellent Adventure,1989-02-17,Adventure,
Black Rain,1989-09-22,Action,
Blaze,1989-12-15,Drama,
Blind Fury,1989-08-17,Action,
Breaking In,1989-10-13,Action,
C.H.U.D. II: Bud the Chud,1989-05-05,Horror,
Casualties of War,1989-08-18,Drama,
Chances Are,1989-03-10,Fantasy,
Cookie,1989-08-23,Comedy,
Cyborg,1989-04-07,Action,
Dad,1989-10-27,Drama,
Dead Bang,1989-03-24,Action,
Disorganized Crime,1989-04-14,Action,
Dream a Little Dream,1989-03-03,Fantasy,
The Dream Team,1989-04-07,Comedy,
A Dry White Season,1989-01-01,Drama,
Earth Girls Are Easy,1988-09-08,Music,
Eddie and the Cruisers II: Eddie Lives!,1989-01-01,Drama,
Eddie and the Cruisers,1983-09-23,Drama,
Enemies: A Love Story,1989-12-13,Comedy,
Erik the Viking,1989-09-22,Adventure,
The Experts,1989-01-13,Action,
Family Business,1989-12-15,Action,
Farewell to the King,1989-03-03,War,
Fat Man and Little Boy,1989-10-20,War,
The Girl in a Swing,1988-09-29,Drama,
Gleaming the Cube,1989-01-13,Drama,
Going Overboard,1989-05-11,Comedy,
Great Balls of Fire!,1989-06-30,Drama,
Gross Anatomy,1989-10-20,Comedy,
Happy Together,1989-05-04,Comedy,
Harlem Nights,1989-11-17,Comedy,
Her Alibi,1989-02-03,Comedy,
Homer and Eddie,1989-08-17,Drama,
How to Get Ahead in Advertising,1989-05-05,Fantasy,
Immediate Family,1989-10-27,Comedy,
In Country,1989-09-15,Drama,
An Innocent Man,1989-10-06,Action,
Jacknife,1989-03-10,Drama,
The January Man,1989-01-13,Crime,
Johnny Handsome,1989-09-12,Crime,
Jesus of Montreal,1989-05-17,Drama,
K-9,1989-04-28,Action,
Kickboxer,1989-04-20,Action,
Last Exit to Brooklyn,1989-10-11,Drama,
Lean On Me,1989-03-03,Drama,
Let It Ride,1989-08-18,Comedy,
Leviathan,1989-03-17,Adventure,
Little Monsters,1989-08-25,Adventure,
Lock Up,1989-08-04,Action,
Look Who's Talking,1989-10-12,Comedy,
Loverboy,1989-04-28,Comedy,
Major League,1989-02-16,Comedy,
Meet the Feebles,1989-08-12,Comedy,
Millennium,1989-08-25,Mystery,
Miracle Mile,1989-05-19,Romance,
Miss Firecracker,1989-04-28,Comedy,
New York Stories,1989-03-10,Comedy,
Next of Kin,1989-10-20,Adventure,
No Holds Barred,1989-06-02,Action,
Old Gringo,1989-10-06,Action,
The Package,1989-08-25,Action,
Parents,1989-01-27,Comedy,
Penn & Teller Get Killed,1989-09-22,Comedy,
Pink Cadillac,1989-05-26,Action,
The Punisher,1989-10-05,Action,
Red Scorpion,1988-12-24,Action,
Jurassic Park III,2001-07-18,Adventure,
America's Sweethearts,2001-07-17,Comedy,
Brother,2000-09-09,Crime,
Ghost World,2001-07-20,Comedy,
Hedwig and the Angry Inch,2001-07-20,Comedy,
Planet of the Apes,2001-07-25,Thriller,
Bread and Tulips,2000-03-03,Drama,
Cure,1997-11-06,Crime,
Greenfingers,2001-07-27,Comedy,
Jackpot,2001-07-26,,
The Monkey's Mask,2000-09-27,Drama,
Wet Hot American Summer,2001-07-27,Comedy,
Relentless,1989-08-30,Mystery,
Renegades,1989-06-02,Action,
The Return of Swamp Thing,1989-05-11,Horror,
The Return of the Musketeers,1989-08-24,Comedy,
Road House,1989-05-19,Action,
Romero,1989-08-25,Drama,
Rosalie Goes Shopping,1989-01-01,Comedy,
Rude Awakening,1989-08-16,Comedy,
Santa Sangre,1989-05-01,Fantasy,
Scandal,1989-03-03,Drama,
Scenes from the Class Struggle in Beverly Hills,1989-06-03,Comedy,
Sea of Love,1989-09-15,Drama,
"See No Evil, Hear No Evil",1989-05-12,Crime,
She's Out of Control,1989-04-14,Comedy,
Shirley Valentine,1989-10-27,Romance,
Shocker,1989-10-27,Thriller,
Skin Deep,1989-03-03,Romance,
Slaves of New York,1989-03-18,Drama,
Some Girls,1988-09-09,Comedy,
Stepfather II: Make Room For Daddy,1989-11-03,Horror,
The Stepfather,1987-01-22,Drama,
Sweetie,1989-09-28,Drama,
The Tall Guy,1989-02-01,Comedy,
Tango & Cash,1989-12-22,Action,
Tap,1989-02-12,Action,
Three Fugitives,1989-01-27,Comedy,
Troop Beverly Hills,1989-03-22,Adventure,
Turner & Hooch,1989-07-28,Action,
UHF,1989-07-21,Comedy,
Uncle Buck,1989-08-16,Comedy,
Vampire's Kiss,1988-09-17,Comedy,
The War of the Roses,1989-12-08,Comedy,
Warlock,1989-06-01,Adventure,
The Wizard,1989-12-15,Adventure,
Worth Winning,1989-10-27,Comedy,
Warlock: The Armageddon,1993-05-01,Fantasy,
Weekend at Bernie's II,1993-07-09,Comedy,
Billy Liar,1963-06-05,Romance,
Black Robe,1991-09-05,Adventure,
The Cat o' Nine Tails,1971-02-11,Horror,
The Cotton Club,1984-12-14,Music,
Def-Con 4,1985-03-15,Horror,
The Hotel New Hampshire,1984-03-09,Comedy,
Idiot Box,1996-01-01,Comedy,
Left Luggage,1998-03-30,Drama,
Who'll Stop the Rain,1978-08-02,War,
"Zorro, The Gay Blade",1981-07-17,Western,
Basket Case,1982-04-14,Comedy,
Orphans,1998-09-03,Comedy,
Original Sin,2001-08-03,Thriller,
The Princess Diaries,2001-08-03,Comedy,
Rush Hour 2,2001-08-03,Action,
Thomas in Love,2000-09-03,Drama,
Chocolat,1988-05-18,Drama,
Hatari!,1962-06-19,Action,
La Cage aux folles,1978-10-25,Comedy,
La Cage aux folles II,1980-12-10,Comedy,
Liebestraum,1991-09-13,Horror,
Marat/Sade,1967-01-01,Music,
Paint Your Wagon,1969-10-15,Drama,
The Shootist,1976-08-11,Action,
Theremin: An Electronic Odyssey,1994-01-29,Documentary,
The Wild Child,1970-02-26,Drama,
Altered States,1980-12-25,Mystery,
Any Which Way You Can,1980-12-17,Action,
The Awakening,1980-07-31,Horror,
Bad Timing,1980-03-02,Drama,
The Big Brawl,1980-09-10,Action,
American Pie 2,2001-08-10,Comedy,
Osmosis Jones,2001-08-07,Adventure,
The Others,2001-08-02,Horror,
American Outlaws,2001-08-17,Action,
All Over the Guy,2001-03-07,Comedy,
The Deep End,2001-01-21,Drama,
On the Edge,2001-08-10,Drama,
Session 9,2001-08-10,Horror,
The Turandot Project,2000-09-11,,
Captain Corelli's Mandolin,2001-08-17,Drama,
Rat Race,2001-07-30,Adventure,
Aberdeen,2000-07-05,Drama,
Innocence,2000-09-08,,
Bubble Boy,2001-08-24,Adventure,
The Curse of the Jade Scorpion,2001-08-05,Comedy,
Jay and Silent Bob Strike Back,2001-08-22,Comedy,
Ghosts of Mars,2001-08-24,Action,
Summer Catch,2001-08-22,Drama,
An American Rhapsody,2001-06-22,Drama,
Happy Accidents,2000-01-25,Comedy,
Lisa Picard Is Famous,2000-05-14,,
Maybe Baby,2000-06-02,Comedy,
Together,2000-08-25,Drama,
Punks,2000-01-24,Comedy,
Tortilla Soup,2001-08-21,Comedy,
Jeepers Creepers,2001-07-01,Horror,
O,2001-08-31,Drama,
Waking Up in Reno,2002-12-13,Comedy,
Speedway Junky,1999-02-11,Romance,
3 Ninjas,1992-08-07,Action,
3 Ninjas Kick Back,1994-05-06,Adventure,
3 Ninjas Knuckle Up,1995-04-07,Adventure,
The Hunter,1980-08-01,Action,
Maniac,1980-11-07,Horror,
Vamp,1986-07-18,Comedy,
The Wicker Man,1973-12-01,Horror,
Wish Upon a Star,1996-11-12,Family,
The Musketeer,2001-09-07,Action,
Rock Star,2001-09-04,Music,
Soul Survivors,2001-09-06,Horror,
Two Can Play That Game,2001-09-07,Comedy,
Bounce: Behind The Velvet Rope,2001-09-07,,
Diamond Men,2000-01-01,Drama,
Djomeh,2000-01-01,Drama,
The Iron Ladies,2000-03-04,Comedy,
Kill Me Later,2001-09-14,Drama,
L.I.E.,2001-01-20,Drama,
Our Lady of the Assassins,2000-09-01,Crime,
Abbott and Costello Meet the Mummy,1955-06-01,Comedy,
"Dr. Mabuse, the Gambler",1922-04-27,Crime,
Into the Arms of Strangers: Stories of the Kindertransport,2000-09-06,Documentary,
The Glass House,2001-09-14,Drama,
Hardball,2001-09-14,Comedy,
Dinner Rush,2000-09-01,Drama,
Haiku Tunnel,2001-09-07,Comedy,
Big Trouble,2002-04-05,Action,
Glitter,2001-09-21,Drama,
Training Day,2001-10-05,Action,
The American Astronaut,2001-01-20,Action,
Children Underground,2001-09-19,Documentary,
Go Tigers!,2001-01-20,Documentary,
Liam,2000-09-04,Drama,
Megiddo: The Omega Code 2,2001-09-07,Action,
Sidewalks of New York,2001-11-23,Comedy,
The Endurance: Shackleton's Legendary Antarctic Expedition,2000-09-02,Documentary,
The French Lieutenant's Woman,1981-08-28,Drama,
The Great Silence,1968-02-21,Action,
The Legend of Hell House,1973-06-15,Horror,
Little Man Tate,1991-09-06,Drama,
Moscow Does Not Believe in Tears,1980-02-11,Drama,
Phantom of the Paradise,1974-10-31,Comedy,
The Return of a Man Called Horse,1976-06-28,Action,
Valdez Is Coming,1971-04-09,Western,
13 Ghosts,1960-08-05,Horror,
Montenegro,1981-10-09,Comedy,
Opera,1987-12-19,Thriller,
Father Goose,1964-10-12,Adventure,
The Grass Is Greener,1960-12-23,Comedy,
A Hole in the Head,1959-09-15,Comedy,
Indiscreet,1958-06-26,Comedy,
"It's a Mad, Mad, Mad, Mad World",1963-11-07,Action,
King Solomon's Mines,1937-01-01,Action,
The Little Foxes,1941-08-20,Drama,
Operation Petticoat,1959-12-05,Action,
Play Misty for Me,1971-11-03,Crime,
Pocketful of Miracles,1961-12-18,Comedy,
Sayonara,1957-12-05,Drama,
The Shop on Main Street,1965-09-09,Drama,
Spring Break,1983-03-25,Comedy,
The Vanishing,1993-02-05,Thriller,
Silkwood,1983-12-14,Drama,
I Never Promised You a Rose Garden,1977-07-14,Drama,
Quadrophenia,1979-09-14,Drama,
SpaceCamp,1986-06-06,Family,
When Worlds Collide,1951-08-01,Action,
Don't Say a Word,2001-09-28,Thriller,
Hearts in Atlantis,2001-09-07,Drama,
Zoolander,2001-09-28,Comedy,
Born Romantic,2000-09-14,Comedy,
Extreme Days,2001-09-28,Action,
Va Savoir (Who Knows?),2001-09-28,Comedy,
Won't Anybody Listen,2001-09-28,Music,
Joy Ride,2001-10-05,Mystery,
Max Keeble's Big Move,2001-10-05,Comedy,
Serendipity,2001-10-05,Comedy,
Grateful Dawg,2000-10-14,Documentary,
La Cienaga,2001-04-12,Comedy,
The Big Red One,1980-05-28,Drama,
The Boogey Man,1980-11-07,Horror,
The Party,1980-01-01,Drama,
Lady in a Cage,1964-01-01,Drama,
Brubaker,1980-06-20,Crime,
Can't Stop the Music,1980-06-20,Comedy,
Carny,1980-05-23,Drama,
The Changeling,1980-03-27,Horror,
Cheech & Chong's Next Movie,1980-07-18,Action,
Coal Miner's Daughter,1980-03-07,Drama,
The Competition,1980-12-03,Drama,
Cruising,1980-09-23,Horror,
D.O.A.,1980-09-12,Documentary,
Death Ship,1980-03-07,Adventure,
The Last Metro,1980-09-17,Drama,
Divine Madness,1980-09-26,Music,
The Dogs of War,1980-12-17,Thriller,
The Learning Curve,2001-10-05,Crime,
Bandits,2001-10-12,Action,
Corky Romano,2001-10-12,Action,
Iron Monkey,1993-09-03,Action,
Fat Girl,2001-03-07,Drama,
Mulholland Drive,2001-05-16,Thriller,
My First Mister,2001-01-18,Comedy,
Spriggan,1998-09-05,Action,
Things Behind the Sun,2001-10-12,Drama,
Bones,2001-10-24,Action,
Brannigan,1975-03-21,Action,
Clambake,1967-01-01,Music,
Dirty Harry,1971-12-21,Action,
Destiny in Space,1994-01-17,Documentary,
Fiddler on the Roof,1971-11-03,Drama,
Hail Columbia!,1982-01-01,Documentary,
Kansas,1988-09-23,Drama,
Making the Grade,1984-05-18,Comedy,
Mission to Mir,1997-10-17,Documentary,
Not Without My Daughter,1991-01-11,Drama,
Female Trouble,1974-10-04,Comedy,
Titanica,1995-04-01,Documentary,
From Hell,2001-10-19,Horror,
The Last Castle,2001-10-19,Action,
Riding in Cars with Boys,2001-10-19,Comedy,
Bangkok Dangerous,1999-11-01,Thriller,
Burnt Money,2000-05-11,Crime,
Dancing at the Blue Iguana,2000-09-14,Drama,
Focus,2001-10-19,Drama,
Intimacy,2001-01-20,Romance,
Waking Life,2001-01-23,Animation,
K-PAX,2001-10-22,Drama,
On the Line,2001-10-26,Comedy,
Thir13en Ghosts,2001-10-26,Horror,
Better Than Sex,2000-11-09,Romance,
Donnie Darko,2001-01-18,Fantasy,
High Heels and Low Lifes,2001-07-16,Action,
Life as a House,2001-10-25,Drama,
The Man Who Wasn't There,2001-05-13,Crime,
Ouch,2000-09-06,Comedy,
The Town Is Quiet,2000-08-30,Drama,
Trembling Before G-d,2001-12-06,,
Domestic Disturbance,2001-10-30,Mystery,
"Monsters, Inc.",2001-11-01,Animation,
The One,2001-11-02,Action,
Tape,2001-01-26,Drama,
Heist,2001-11-09,Action,
Shallow Hal,2001-11-01,Comedy,
King of the Jungle,2000-10-12,Drama,
Maze,2000-10-10,Drama,
When a Stranger Calls,1979-10-26,Horror,
Timerider: The Adventure of Lyle Swann,1982-12-11,Action,
The Wash,2001-11-16,Action,
Harry Potter and the Philosopher's Stone,2001-11-16,Adventure,
The Fluffer,2001-02-11,Comedy,
Novocaine,2001-11-23,Comedy,
Black Knight,2001-11-21,Adventure,
Out Cold,2001-11-21,Comedy,
Spy Game,2001-11-18,Action,
The Devil's Backbone,2001-04-20,Fantasy,
In the Bedroom,2001-11-23,Drama,
The Way We Laughed,1998-01-01,,
Hell Up In Harlem,1973-12-01,Action,
Bucktown,1975-07-02,Action,
Across 110th Street,1972-12-19,Action,
Le Petit Soldat,1963-01-25,Drama,
The Incredible Shrinking Woman,1981-01-30,Comedy,
Katie Tippel,1975-03-06,Romance,
Jabberwocky,1977-03-28,Fantasy,
Funny Girl,1968-09-19,Drama,
Circus of Horrors,1960-04-01,Horror,
Breathless,1960-03-16,Drama,
The Beastmaster,1982-08-20,Action,
Midway,1976-06-18,Action,
MacArthur,1977-07-01,Drama,
The Young Lions,1958-04-02,Action,
Subway,1985-04-10,Action,
"Now, Voyager",1942-10-31,Drama,
Little Women,1933-11-24,Drama,
Halls of Montezuma,1951-01-04,Adventure,
Guadalcanal Diary,1943-01-01,Action,
Anzio,1968-07-24,Action,
The Cheap Detective,1978-06-23,Comedy,
Everybody's Famous!,2000-04-12,Comedy,
The Last Wave,1977-01-01,Drama,
That Obscure Object of Desire,1977-08-17,Comedy,
The Toy,1982-12-10,Comedy,
Funeral in Berlin,1966-12-22,Thriller,
Don't Go in the House,1980-03-28,Horror,
Dressed to Kill,1980-06-25,Horror,
The Earthling,1980-07-24,Action,
The Exterminator,1980-09-10,Action,
The Falls,1980-01-01,Drama,
Fame,1980-05-16,Drama,
Fatso,1980-02-01,Comedy,
The Aviator's Wife,1981-03-04,Comedy,
The Final Countdown,1980-01-31,Action,
The First Deadly Sin,1980-10-03,Crime,
Flash Gordon,1980-09-01,Science Fiction,
The Angry Red Planet,1959-11-23,Adventure,
At the Earth's Core,1976-07-01,Adventure,
Empire of the Ants,1977-06-29,Horror,
The Enforcer,1976-12-20,Action,
An Eye for an Eye,1981-08-14,Adventure,
The Gauntlet,1977-12-21,Drama,
I Bury the Living,1958-07-01,Horror,
Invasion U.S.A.,1985-09-27,Action,
Lone Wolf McQuade,1983-04-14,Action,
Lord of the Flies,1990-03-16,Adventure,
Morons from Outer Space,1985-03-29,Comedy,
The People That Time Forgot,1977-07-06,Adventure,
Ocean's Eleven,1960-02-17,Thriller,
The Sicilian,1987-10-23,Drama,
The Stunt Man,1980-06-27,Action,
Sudden Impact,1983-12-07,Action,
Behind Enemy Lines,2001-11-17,Action,
The Affair of the Necklace,2001-11-20,Drama,
The Independent,2000-11-10,Comedy,
Porn Star: The Legend of Ron Jeremy,2001-01-01,Documentary,
Texas Rangers,2001-11-30,Action,
Ocean's Eleven,2001-12-07,Thriller,
Baran,2001-01-31,Drama,
The Business of Strangers,2001-01-19,Drama,
The Incredible Shrinking Man,1957-02-22,Drama,
No Man's Land,2001-09-08,Drama,
Piñero,2001-01-01,Drama,
And Then There Were None,1945-10-31,Crime,
The Blue Angel,1930-03-31,Drama,
Moscow on the Hudson,1984-06-04,Comedy,
The Owl and the Pussycat,1970-01-01,Comedy,
Amélie,2001-04-25,Comedy,
Not Another Teen Movie,2001-12-07,Comedy,
Vanilla Sky,2001-12-10,Drama,
Iris,2001-12-14,Drama,
Kandahar,2001-05-11,Drama,
Lantana,2001-10-04,Crime,
The Royal Tenenbaums,2001-10-05,Comedy,
Bill & Ted's Bogus Journey,1991-07-19,Adventure,
Clockwise,1986-03-01,Comedy,
The Crawling Eye,1958-07-07,Horror,
The Holcroft Covenant,1985-09-20,Action,
Morgan: A Suitable Case for Treatment,1966-01-01,Comedy,
Sheena,1984-08-17,Action,
Silent Rage,1982-04-02,Action,
Spacehunter: Adventures in the Forbidden Zone,1983-05-20,Adventure,
White Water Summer,1987-07-10,Family,
How High,2001-12-21,Comedy,
Jimmy Neutron: Boy Genius,2001-12-21,Action,
Joe Somebody,2001-12-21,Comedy,
Kate & Leopold,2001-12-25,Comedy,
The Lord of the Rings: The Fellowship of the Ring,2001-12-18,Adventure,
The Majestic,2001-12-21,Drama,
A Beautiful Mind,2001-12-11,Drama,
Little Otik,2001-01-25,Animation,
The Convent,2000-01-21,Horror,
The Defiant Ones,1958-08-14,Crime,
Dodsworth,1936-09-23,Drama,
Medium Cool,1969-08-27,Drama,
Sahara,1943-09-02,Action,
Fritz the Cat,1972-04-12,Animation,
The Nine Lives of Fritz the Cat,1974-09-18,Animation,
The Party,1968-04-04,Comedy,
Separate Tables,1958-12-18,Drama,
Sex and Zen,1991-11-30,Drama,
Topkapi,1964-09-02,Adventure,
Witness for the Prosecution,1957-12-17,Drama,
Ali,2001-12-11,Drama,
Black Hawk Down,2001-12-28,Action,
Charlotte Gray,2001-12-17,Drama,
Yentl,1983-11-18,Music,
Gosford Park,2001-11-07,Drama,
I Am Sam,2001-12-28,Drama,
Monster's Ball,2001-11-11,Drama,
The Shipping News,2001-12-18,Drama,
The Big Heat,1953-10-14,Crime,
Motorama,1991-09-10,Comedy,
Queen Bee,1955-11-07,Drama,
Silent Trigger,1996-06-26,Drama,
Murder by Death,1976-06-23,Comedy,
The Servant,1963-11-01,Drama,
The Waterdance,1992-05-13,Drama,
Come Undone,2000-06-07,Romance,
Orange County,2002-01-10,Comedy,
Brotherhood of the Wolf,2001-01-31,Adventure,
Another 48 Hrs.,1990-06-08,Thriller,
What Time Is It There?,2001-05-15,Drama,
China Moon,1994-03-04,Mystery,
The Umbrella Woman,1987-05-14,Drama,
Maria's Lovers,1984-01-27,Drama,
Romantic Comedy,1983-10-07,Comedy,
The Russia House,1990-12-19,Drama,
Truly Madly Deeply,1990-11-10,Fantasy,
Wuthering Heights,1970-06-09,Drama,
California Suite,1978-12-15,Comedy,
The Long Gray Line,1955-02-09,Comedy,
The Flight of Dragons,1982-08-17,Animation,
Dragonslayer,1981-06-26,Fantasy,
Conan the Destroyer,1984-06-29,Adventure,
Fire and Ice,1983-03-25,Animation,
Forbidden Zone,1980-03-21,Comedy,
The Formula,1980-01-01,Thriller,
Foxes,1980-02-29,Drama,
Galaxina,1980-06-06,Comedy,
Impostor,2001-12-03,Action,
Kung Pow: Enter the Fist,2002-01-25,Action,
Snow Dogs,2002-01-18,Adventure,
48 Hrs.,1982-12-07,Thriller,
The Farewell,2000-05-14,Drama,
Italian for Beginners,2000-12-07,Comedy,
Time of Favor,2000-11-30,Drama,
Blankman,1994-08-19,Action,
Brainstorm,1983-09-30,Science Fiction,
Dragon: The Bruce Lee Story,1993-05-07,Drama,
The Enigma of Kaspar Hauser,1974-11-01,Drama,
4 for Texas,1963-12-25,Comedy,
Heart of Glass,1976-11-12,Comedy,
Little Dieter Needs to Fly,1997-12-01,Documentary,
M*A*S*H,1970-01-24,Comedy,
Mrs. Soffel,1984-12-26,Drama,
Seconds,1966-10-05,Mystery,
One-Eyed Jacks,1961-03-30,Western,
The Count of Monte Cristo,2002-01-23,Action,
The Mothman Prophecies,2002-01-25,Drama,
A Walk to Remember,2002-01-25,Drama,
American Adobo,2001-09-29,Comedy,
Beijing Bicycle,2001-02-17,Drama,
Hey Happy,2001-01-01,Comedy,
Maelström,2000-09-08,Drama,
Metropolis,2001-05-26,Animation,
The Son's Room,2001-03-09,Drama,
Storytelling,2001-11-08,Comedy,
Waydowntown,2000-01-01,Comedy,
The Adventures of Huck Finn,1993-04-02,Action,
Cousins,1989-02-10,Comedy,
Falling in Love,1984-11-21,Drama,
Young at Heart,1954-12-01,Drama,
Slackers,2002-02-01,Comedy,
Birthday Girl,2001-09-06,Comedy,
A Rumor of Angels,2000-09-08,Drama,
Rare Birds,2001-09-09,Comedy,
Caged Heat,1974-04-19,Action,
Carmen Jones,1954-10-27,Drama,
The Five Heartbeats,1991-03-29,Drama,
Get Out Your Handkerchiefs,1978-01-11,Romance,
Going Places,1974-05-12,Drama,
Honky Tonk Freeway,1981-08-21,Action,
The Hunchback of Notre Dame,1956-12-19,Horror,
The Magnificent One,1973-11-23,Action,
Big Fat Liar,2002-02-08,Comedy,
Collateral Damage,2002-02-06,Action,
Rollerball,2002-02-08,Action,
"Scotland, Pa.",2001-03-15,Comedy,
Baby's Day Out,1994-07-01,Action,
Bright Eyes,1934-12-28,Drama,
Dimples,1936-10-08,Drama,
Heidi,1937-10-15,Drama,
The Man Who Loved Women,1983-12-18,Comedy,
Richard Pryor: Here and Now,1983-10-28,Comedy,
Rookie of the Year,1993-07-07,Comedy,
The Sandlot,1993-04-07,Comedy,
Cows,1992-02-26,Drama,
Don't Look Now,1973-12-03,Thriller,
Crossroads,2002-02-15,Action,
Hart's War,2002-02-15,Drama,
John Q,2002-02-15,Drama,
Return to Never Land,2002-02-14,Adventure,
Super Troopers,2001-01-18,Comedy,
The Good Son,1993-09-24,Drama,
Last Orders,2001-09-10,Comedy,
After the Fox,1966-01-01,Crime,
The Bad and the Beautiful,1952-12-25,Drama,
Cast a Giant Shadow,1966-03-30,War,
Designing Woman,1957-05-16,Comedy,
Funny Lady,1975-03-15,Comedy,
The Heartbreak Kid,1972-12-17,Comedy,
Saturday Night and Sunday Morning,1960-08-29,Drama,
Sleuth,1972-12-10,Thriller,
Stroszek,1977-01-12,Drama,
Summer of '42,1971-04-09,Comedy,
A Touch of Class,1973-01-01,Comedy,
Town Without Pity,1961-10-10,Drama,
Used Cars,1980-07-11,Action,
The Deadly Mantis,1957-05-01,Thriller,
Dragonfly,2002-02-22,Drama,
Queen of the Damned,2002-02-10,Drama,
Big Bad Love,2001-10-11,Drama,
Green Dragon,2001-01-01,Action,
How to Kill Your Neighbor's Dog,2002-02-22,Comedy,
The Last Man,2000-04-15,Comedy,
Maryam,2002-02-22,Drama,
Mean Machine,2001-12-26,Comedy,
Monsoon Wedding,2001-08-30,Comedy,
Wendigo,2001-01-23,Horror,
Scratch,2001-11-07,Documentary,
State Property,2002-01-18,Action,
The Bad News Bears,1976-04-07,Comedy,
The Bad News Bears Go to Japan,1978-06-30,Comedy,
The Bad News Bears in Breaking Training,1977-07-08,Comedy,
The Firemen's Ball,1967-12-15,Comedy,
The Lone Ranger,1956-02-25,Adventure,
The Lone Ranger and the Lost City of Gold,1958-01-01,Action,
Loves of a Blonde,1965-12-12,Comedy,
Vampire Hunter D: Bloodlust,2000-08-25,Action,
Wild Strawberries,1957-12-26,Drama,
Black Like Me,1964-01-01,Drama,
Cattle Queen of Montana,1954-11-18,Western,
Under the Skin,1997-11-28,Drama,
40 Days and 40 Nights,2002-03-01,Comedy,
We Were Soldiers,2002-03-01,Action,
Trouble Every Day,2001-07-11,Drama,
The Arena,1974-03-13,Action,
The Big Bird Cage,1972-07-01,Action,
The Big Doll House,1971-01-01,Action,
The Church,1989-03-10,Horror,
Cross Creek,1983-09-21,Drama,
FernGully: The Last Rainforest,1992-04-10,Fantasy,
Hell of the Living Dead,1980-11-17,Horror,
Intersection,1994-01-21,Drama,
"Jo Jo Dancer, Your Life Is Calling",1986-05-02,Drama,
StageFright: Aquarius,1987-02-08,Horror,
A Troll in Central Park,1994-10-07,Fantasy,
Zombie Flesh Eaters,1979-08-25,Horror,
The Amazing Quest of Ernest Bliss,1936-07-28,Romance,
My Favorite Brunette,1947-04-04,Comedy,
Royal Wedding,1951-01-01,Comedy,
Scarlet Street,1945-12-28,Drama,
All About the Benjamins,2002-03-08,Action,
The Time Machine,2002-03-04,Science Fiction,
Full Frontal,2002-08-02,Comedy,
Divorcing Jack,1998-10-01,Comedy,
The Field,1990-12-21,Drama,
Hidden Agenda,1990-11-21,Mystery,
The Magnificent Ambersons,1942-07-10,Romance,
Fun,1994-01-01,Drama,
Gloria,1980-10-01,Drama,
The Great Rock 'n' Roll Swindle,1980-09-11,Comedy,
Hangar 18,1980-07-01,Action,
Hawk the Slayer,1980-08-27,Fantasy,
He Knows You're Alone,1980-09-12,Horror,
Heaven's Gate,1980-11-19,Action,
